"Active.Players..41.","Age","Pos.","Status","Base.Salary","Signing.Bonus","Incentives","Payroll.Salary","Adj...Salary","Payroll..","Lux..Tax.Salary"
"Zito
										
										Barry Zito",34,"SP","Vet","$19,000,000","-","-","$19,000,000","$19,000,000",13.82,0
"Lincecum
										
										Tim Lincecum",28,"RP","Arb 2","$18,000,000","$250,000","-","$18,250,000","$18,250,000",13.27,0
"Cain
										
										Matt Cain",27,"RP","Vet","$15,000,000","$1,166,666","$100,000","$16,266,666","$16,266,666",11.83,0
"Huff
										
										Aubrey Huff",35,"1B","Vet","$10,000,000","-","-","$10,000,000","$10,000,000",7.27,0
"Wilson
										
										Brian Wilson",30,"RP","Arb 3","$8,500,000","-","-","$8,500,000","$8,500,000",6.18,0
"Cabrera
										
										Melky Cabrera",27,"LF","Arb 4","$6,000,000","-","-","$6,000,000","$6,000,000",4.36,0
"Sanchez
										
										Freddy Sanchez",34,"2B","Vet","$6,000,000","-","-","$6,000,000","$6,000,000",4.36,0
"Affeldt
										
										Jeremy Affeldt",33,"RP","Vet","$5,000,000","-","-","$5,000,000","$5,000,000",3.64,0
"Pagan
										
										Angel Pagan",30,"LF","Arb 3","$4,850,000","-","$150,000","$5,000,000","$5,000,000",3.64,0
"Lopez
										
										Javier Lopez",34,"RP","Vet","$4,250,000","-","-","$4,250,000","$4,250,000",3.09,0
"Sandoval
										
										Pablo Sandoval",25,"3B","Arb 1","$3,200,000","-","-","$3,200,000","$3,200,000",2.33,0
"Vogelsong
										
										Ryan Vogelsong",34,"SP","Arb 3","$3,000,000","-","$100,000","$3,100,000","$3,100,000",2.25,0
"Casilla
										
										Santiago Casilla",31,"RP","Arb 3","$2,200,000","-","-","$2,200,000","$2,200,000",1.6,0
"Romo
										
										Sergio Romo",29,"RP/CL","Arb 1","$1,575,000","-","-","$1,575,000","$1,575,000",1.15,0
"Theriot
										
										Ryan Theriot",32,"2B","Arb 3","$1,250,000","-","-","$1,250,000","$1,250,000",0.91,0
"Mota
										
										Guillermo Mota",38,"RP","Vet","$1,000,000","-","-","$1,000,000","$1,000,000",0.73,0
"Posey
										
										Buster Posey",25,"C","Pre-Arb","$615,000","-","$175,000","$790,000","$790,000",0.57,0
"Hensley
										
										Clay Hensley",32,"RP","Vet","$750,000","-","-","$750,000","$750,000",0.55,0
"Burriss
										
										Emmanuel Burriss",27,"SS","Pre-Arb","$625,000","-","-","$625,000","$625,000",0.45,0
"Bumgarner
										
										Madison Bumgarner",22,"SP","Pre-Arb","$560,000","-","-","$560,000","$560,000",0.41,0
"Blanco
										
										Gregor Blanco",28,"RF","Pre-Arb","$516,000","-","-","$516,000","$516,000",0.38,0
"Scutaro
										
										Marco Scutaro",36,"2B","Vet","$6,000,000","-","-","$6,000,000","$500,000",0.36,0
"Runzler
										
										Dan Runzler",27,"RP","Pre-Arb","$483,000","-","-","$483,000","$483,000",0.35,0
"Kontos
										
										George Kontos",27,"RP","Pre-Arb","$481,350","-","-","$481,350","$481,350",0.35,0
"Belt
										
										Brandon Belt",24,"1B","Pre-Arb","$481,000","-","-","$481,000","$481,000",0.35,0
"Crawford
										
										Brandon Crawford",25,"SS","Pre-Arb","$481,000","-","-","$481,000","$481,000",0.35,0
"Villalona
										
										Angel Villalona",21,"3B","Pre-Arb","$481,000","-","-","$481,000","$481,000",0.35,0
"Adrianza
										
										Ehire Adrianza",22,"SS","Pre-Arb","$480,000","-","-","$480,000","$480,000",0.35,0
"Arias
										
										Joaquin Arias",27,"SS","Pre-Arb","$480,000","-","-","$480,000","$480,000",0.35,0
"Gillaspie
										
										Conor Gillaspie",24,"3B","Pre-Arb","$480,000","-","-","$480,000","$480,000",0.35,0
"Loux
										
										Shane Loux",32,"SP","Pre-Arb","$480,000","-","-","$480,000","$480,000",0.35,0
"Machi
										
										Jean Machi",30,"RP","Pre-Arb","$480,000","-","-","$480,000","$480,000",0.35,0
"Otero
										
										Dan Otero",27,"RP","Pre-Arb","$480,000","-","-","$480,000","$480,000",0.35,0
"Peguero
										
										Francisco Peguero",24,"RF","Pre-Arb","$480,000","-","-","$480,000","$480,000",0.35,0
"Petit
										
										Yusmeiro Petit",27,"RP","Pre-Arb","$480,000","-","-","$480,000","$480,000",0.35,0
"Pill
										
										Brett Pill",27,"1B","Pre-Arb","$480,000","-","-","$480,000","$480,000",0.35,0
"Sanchez
										
										Hector Sanchez",22,"C","Pre-Arb","$480,000","-","-","$480,000","$480,000",0.35,0
"Surkamp
										
										Eric Surkamp",24,"SP","Pre-Arb","$480,000","-","-","$480,000","$480,000",0.35,0
"Christian
										
										Justin Christian",32,"CF","Pre-Arb","$414,066","-","-","$414,066","$414,066",0.3,0
"Penny
										
										Brad Penny",34,"SP","Vet","$500,000","-","-","$500,000","$265,027",0.19,0
"Nady
										
										Xavier Nady",33,"1B","Pre-Arb","$700,000","-","-","$700,000","$126,229",0.09,0
